PT.DOT Data Generator
AI-Powered Cultural POI Population Tool

Img Quality

Balanced (600px)
2005 POIs Generated
Single Generation
Solares e Conventos em Viseu
Generate Single
Full Country Batch
Strategy

Enrichment (Exclude Pillories)
Strictly excludes Fountains/Pillories. Focuses on SIPA IDs for Solares, Bridges, Ermidas.

Start From (Checkpoint)

Aveiro (Step 1)
Extraction Depth (Per District)

MAXIMUM (All Feasible)
Splits requests by theme automatically.

Start Full Batch
Preview
SQL Script
CSV Export
Main Data (Clean)
Images Relations (DB)
id,name,name_pt,category,subcategory,architect,year,description,wikipedia_url,sipa_id,lat,lon,source
348,"Argozelo Castle","Castelo de Argozelo","castle","Castelo Medieval","Desconhecido","Séc. XIII","O Castelo de Argozelo, na freguesia de Argozelo, concelho de Vimioso, é uma fortificação medieval em ruínas. Remonta ao século XIII e, embora restem poucos vestígios, a sua localização estratégica sugere a sua importância na defesa territorial. As ruínas incluem partes da muralha e da torre.","","PT010416030001",41.5975,-6.7118,"Batch (enrichment): Bragança"
349,"Carrazeda de Ansiães Walls","Muralhas de Carrazeda de Ansiães","castle","Muralhas Urbanas","Desconhecido","Séc. XII - XV","As Muralhas de Carrazeda de Ansiães, na vila de Carrazeda de Ansiães, são os remanescentes de uma antiga fortificação medieval. Embora o castelo original esteja quase desaparecido, os troços de muralha e as portas da cerca urbana ainda testemunham a importância defensiva desta povoação, fundada no século XII.","","PT010403040001",41.2057,-7.2144,"Batch (enrichment): Bragança"
350,"Ataídes Manor House","Solar dos Ataídes","palace","Solar","Desconhecido","Séc. XVI","O Solar dos Ataídes, localizado em Freixo de Espada à Cinta, é um imponente edifício senhorial do século XVI. A sua arquitetura renascentista e manuelina, com elementos decorativos distintos e um brasão de armas, atesta a riqueza e o estatuto da família Ataídes, uma das mais influentes da região.","","PT010404040013",41.0715,-6.899,"Batch (enrichment): Bragança"
351,"Freixo de Espada à Cinta Castle","Castelo de Freixo de Espada à Cinta","castle","Castelo Medieval","Desconhecido","Séc. XIII - XIV","O Castelo de Freixo de Espada à Cinta é um monumento nacional na vila homónima. As suas origens remontam ao século XIII, mas a sua forma atual resulta de remodelações posteriores, incluindo uma torre de menagem pentagonal única. Foi um ponto estratégico na defesa da fronteira.","","PT010404040001",41.0699,-6.9015,"Batch (enrichment): Bragança"
352,"Faya Family Manor House","Solar da Família da Faya","palace","Solar","Desconhecido","Séc. XVII","O Solar da Família da Faya, em Freixo de Espada à Cinta, é um notável edifício civil do século XVII. A sua arquitetura revela traços barrocos e é um testemunho da prosperidade das famílias nobres locais. O solar ainda mantém parte da sua estrutura original e elementos decorativos.","","PT010404040014",41.0705,-6.9008,"Batch (enrichment): Bragança"
353,"Osório Family Manor House","Solar da Família Osório","palace","Solar","Desconhecido","Séc. XVIII","O Solar da Família Osório, situado em Macedo de Cavaleiros, é um dos exemplos da arquitetura senhorial do século XVIII na região. Este solar, com a sua fachada distinta e brasão de armas, reflete o estatuto e a influência de uma das principais famílias nobres locais.","","PT010407060002",41.528,-7.0005,"Batch (enrichment): Bragança"
354,"Rebordelo Castle","Castelo de Rebordelo","castle","Castelo Medieval","Desconhecido","Séc. XIII","O Castelo de Rebordelo, na freguesia de Rebordelo, concelho de Vinhais, são os vestígios de uma fortificação medieval do século XIII. Apesar de em avançado estado de ruína, a sua importância histórica reside na sua função defensiva e na sua integração na linha de fortificações fronteiriças de Trás-os-Montes.","","PT010417180001",41.7695,-7.027,"Batch (enrichment): Bragança"
355,"Walls and Clock Tower of Torre de Moncorvo","Muralhas e Torre do Relógio de Torre de Moncorvo","castle","Muralhas Urbanas","Desconhecido","Séc. XIII - XIV","As Muralhas e a Torre do Relógio de Torre de Moncorvo são os remanescentes da antiga fortificação medieval que protegia a vila. Datadas dos séculos XIII-XIV, representam o que resta do castelo e da cerca urbana, testemunhando a importância estratégica desta localidade.","","PT010415120002",41.171,-7.0055,"Batch (enrichment): Bragança"
356,"Macedo Manor House","Solar dos Macedos","palace","Solar","Desconhecido","Séc. XVIII","O Solar dos Macedos, localizado em Macedo de Cavaleiros, é um edifício brasonado do século XVIII, que exemplifica a arquitetura residencial da nobreza rural transmontana. Apresenta uma fachada de granito sóbria, mas elegante, e foi a residência de uma das famílias mais proeminentes da região.","","PT010407060003",41.5275,-6.9998,"Batch (enrichment): Bragança"
357,"Távoras House","Casa dos Távoras","palace","Solar","Desconhecido","Séc. XVII","A Casa dos Távoras, em Freixo de Espada à Cinta, é um edifício senhorial do século XVII, associado à influente família dos Távoras. A sua arquitetura é característica da época, com elementos decorativos que refletem o estatuto da família antes da sua queda.","","PT010404040015",41.0708,-6.9002,"Batch (enrichment): Bragança"
358,"Lencastre Manor House","Solar dos Lencastres","palace","Solar","Desconhecido","Séc. XVII","O Solar dos Lencastres, em Miranda do Douro, é um notável edifício do século XVII, testemunho da riqueza e influência da família Lencastre, uma das mais importantes da região. A sua arquitetura sóbria e elegante, com o brasão de armas, destaca-se no tecido urbano.","","PT010406050005",41.485,-6.2725,"Batch (enrichment): Bragança"
359,"Sendim Fortifications","Fortificações de Sendim","castle","Fortificação","Desconhecido","Séc. XVII - XVIII","As Fortificações de Sendim, no concelho de Miranda do Douro, são os vestígios de uma antiga estrutura defensiva que protegia a povoação. Embora não seja um castelo completo, os restos das muralhas e baluartes indicam a sua função estratégica na defesa fronteiriça, com origens que remontam a séculos passados.","","PT010406100001",41.378,-6.602,"Batch (enrichment): Bragança"
360,"Bishop's Palace (former Episcopal Palace)","Paço do Bispo (antigo Paço Episcopal)","palace","Paço","Desconhecido","Séc. XVIII","O antigo Paço Episcopal de Miranda do Douro, conhecido como Paço do Bispo, é um imponente edifício do século XVIII, que serviu de residência aos bispos da diocese. A sua arquitetura barroca e a sua dimensão grandiosa refletem a importância e o poder da Igreja na região. Atualmente, alberga o Museu da Terra de Miranda.","","PT010406050003",41.4852,-6.2718,"Batch (enrichment): Bragança"
361,"Ponces Manor House","Solar dos Ponces","palace","Solar","Desconhecido","Séc. XVIII","O Solar dos Ponces, em Vimioso, é um edifício senhorial do século XVIII, que se destaca pela sua arquitetura elegante e pelo brasão de armas na fachada. Foi a residência de uma proeminente família nobre local, os Ponces, e é um importante exemplo da arquitetura civil barroca da região.","","PT010416170002",41.603,-6.532,"Batch (enrichment): Bragança"
362,"Castro of Sacóias","Castro de Sacóias","archaeology","Castro","Desconhecido","Idade do Ferro","Este povoado fortificado, datado da Idade do Ferro, localiza-se na freguesia de Sacóias, concelho de Bragança. Apresenta vestígios de muralhas e estruturas habitacionais, testemunhando a ocupação humana na região desde tempos pré-romanos, com continuidade durante a romanização.","","PT010402280004",41.8711,-6.6413,"Batch (enrichment): Bragança"
363,"Castro of Oleiros","Castro de Oleiros","archaeology","Castro","Desconhecido","Idade do Ferro / Romano","Situado em Vila Flor, este castro é um importante testemunho da Idade do Ferro no Nordeste Transmontano. Ocupado entre o século V a.C. e o século I d.C., revela vestígios de casas circulares e elípticas, muralhas e um fosso defensivo, evidenciando uma comunidade rural fortificada.","","PT010412190003",41.3534,-7.1472,"Batch (enrichment): Bragança"
364,"Roman Bridge of Bragança (Azibo Bridge)","Ponte Romana de Bragança (Ponte do Azibo)","monument","Ponte","Desconhecido","Época Romana / Medieval","Conhecida como Ponte do Azibo, esta ponte de origem romana sobre o rio Fervença, na albufeira do Azibo, é um exemplar da engenharia romana adaptada às necessidades medievais. Embora parcialmente submersa, os seus arcos e estrutura robusta testemunham séculos de história e ligação territorial.","","PT010402280001",41.5471,-6.746,"Batch (enrichment): Bragança"
365,"Roman Bridge of Morais","Ponte Romana de Morais","monument","Ponte","Desconhecido","Época Romana / Medieval","Localizada em Morais, Macedo de Cavaleiros, esta ponte sobre o rio Azibo possui uma fundação romana, tendo sido alvo de reconstruções significativas na época medieval. É um ponto de passagem histórico que ligava importantes rotas na região, mantendo ainda hoje a sua imponência.","","PT010406080005",41.517,-7.0253,"Batch (enrichment): Bragança"
366,"Castro of São Brás","Castro de São Brás","archaeology","Castro","Desconhecido","Idade do Bronze / Ferro","Situado em Macedo de Cavaleiros, este sítio arqueológico apresenta vestígios de um povoado fortificado que remonta à Idade do Bronze, com continuidade na Idade do Ferro. A sua localização estratégica e as descobertas arqueológicas revelam a importância defensiva e social do local.","","PT010406080006",41.516,-7.062,"Batch (enrichment): Bragança"
367,"Dolmen of Vilarinho da Castanheira","Anta de Vilarinho da Castanheira","archaeology","Anta","Desconhecido","Pré-história (Neolítico/Calcolítico)","Este monumento megalítico, do tipo dólmen, encontra-se em Carrazeda de Ansiães. Edificado durante o período Neolítico/Calcolítico, serviu como sepulcro coletivo. Embora parcialmente danificado, mantém a sua estrutura original e o significado histórico como testemunho da ocupação pré-histórica.","","PT010403040001",41.2291,-7.2281,"Batch (enrichment): Bragança"
368,"Bridge of Vilarinho dos Galegos","Ponte de Vilarinho dos Galegos","monument","Ponte","Desconhecido","Séc. XIII-XIV","Ponte de origem medieval, localizada em Mogadouro, sobre o rio Angueira. Construída em alvenaria de granito, possui arcos de volta perfeita, sendo um exemplar robusto da arquitetura civil da época. A sua estrutura permitiu a travessia segura de pessoas e bens ao longo dos séculos.","","PT010407130006",41.365,-6.561,"Batch (enrichment): Bragança"
369,"Castro of Vimieiro","Castro de Vimieiro","archaeology","Castro","Desconhecido","Idade do Ferro","Em Freixo de Espada à Cinta, este povoado fortificado pré-romano é um sítio arqueológico de relevância. Os vestígios de muralhas e estruturas domésticas revelam a vida e as práticas defensivas das comunidades da Idade do Ferro na região do Douro Superior.","","PT010404040003",41.139,-6.918,"Batch (enrichment): Bragança"
370,"Medieval Bridge of Alfândega da Fé","Ponte Medieval de Alfândega da Fé","monument","Ponte","Desconhecido","Idade Média","Esta ponte medieval sobre a ribeira de Vale de Coelhos, em Alfândega da Fé, é um elemento de grande interesse histórico e arquitetónico. A sua construção em pedra e a disposição dos seus arcos demonstram a perícia dos construtores medievais e a importância das vias de comunicação da época.","","PT010401010002",41.328,-6.969,"Batch (enrichment): Bragança"
371,"Dolmen of Lapa de Gargalão","Anta da Lapa de Gargalão","archaeology","Anta","Desconhecido","Pré-história","Localizada em Vimioso, esta anta é um dólmen notável com câmara poligonal e um corredor bem definido. Representa um importante testemunho da cultura megalítica da região, servindo como local de enterramento e culto durante a Pré-História.","","PT010413110001",41.67,-6.495,"Batch (enrichment): Bragança"
372,"Roman Bridge of Rebordãos","Ponte Romana de Rebordãos","monument","Ponte","Desconhecido","Época Romana","Em Rebordãos, concelho de Bragança, esta ponte de origem romana, possivelmente reabilitada em períodos posteriores, cruza um curso de água local. Próximo a ela, ainda se podem observar vestígios de calçada romana, indicando a presença de uma via de comunicação importante no império.","","PT010402280005",41.802,-6.903,"Batch (enrichment): Bragança"
373,"Castro of Circo","Castro do Circo","archaeology","Castro","Desconhecido","Idade do Ferro / Romano","Localizado em Mirandela, o Castro do Circo é um povoado fortificado com ocupação que se estende desde a Idade do Ferro até ao período romano. As escavações revelaram muralhas defensivas, casas e artefactos que ilustram a evolução e a vida das comunidades celtas e romanizadas na região.","","PT010408160002",41.488,-7.151,"Batch (enrichment): Bragança"
374,"Dolmen of São Gens","Anta de São Gens","archaeology","Anta","Desconhecido","Pré-história","Esta anta, situada em Freixo de Espada à Cinta, é um dólmen com vestígios de uma mamoa (montículo de terra que cobria o monumento). Constitui um testemunho fundamental da arquitetura funerária megalítica, datando da Pré-história, e um marco na paisagem cultural da região.","","PT010404040001",41.111,-7.009,"Batch (enrichment): Bragança"
375,"Bridge of Outeiro","Ponte de Outeiro","monument","Ponte","Desconhecido","Idade Média","A Ponte de Outeiro, no concelho de Bragança, é uma robusta ponte medieval sobre o rio Sabor. Com os seus imponentes arcos de volta perfeita, serviu de passagem vital para as comunidades locais e rotas comerciais, mantendo-se como um elemento paisagístico e histórico de grande valor.","","PT010402280010",41.777,-6.786,"Batch (enrichment): Bragança"
376,"Castro of Castelo Velho","Castro do Castelo Velho (Freixo de Espada à Cinta)","archaeology","Castro","Desconhecido","Idade do Ferro","Este importante povoado fortificado da Idade do Ferro, em Freixo de Espada à Cinta, revela complexas estruturas defensivas e habitacionais. A sua localização elevada e as descobertas arqueológicas sublinham o papel estratégico e o desenvolvimento social das comunidades pré-romanas.","","PT010404040005",41.157,-6.863,"Batch (enrichment): Bragança"
377,"Medieval Bridge of Moncorvo","Ponte Medieval de Moncorvo","monument","Ponte","Desconhecido","Idade Média","Em Torre de Moncorvo, esta ponte medieval de três arcos sobre a Ribeira da Vilariça é um exemplo notável de engenharia civil da Idade Média. A sua construção em pedra de granito e o seu bom estado de conservação atestam a durabilidade e a importância desta travessia histórica.","","PT010411130006",41.196,-7.039,"Batch (enrichment): Bragança"
378,"Castro of Sendim","Castro de Sendim","archaeology","Castro","Desconhecido","Idade do Ferro / Romano","Localizado em Miranda do Douro, o Castro de Sendim é um povoado fortificado da Idade do Ferro que mostra claras evidências de romanização. As escavações revelaram estruturas defensivas, vestígios de habitações e materiais que documentam a transição cultural e a vida quotidiana da época.","","PT010409120005",41.428,-6.505,"Batch (enrichment): Bragança"
379,"Roman Bridge of Constantim","Ponte Romana de Constantim","monument","Ponte","Desconhecido","Época Romana","Esta ponte, situada em Constantim, Mirandela, sobre o rio Tua, possui uma estrutura romana, característica pelos seus arcos de volta perfeita e robustez. Foi um ponto crucial na antiga via romana, facilitando o comércio e a comunicação na região transmontana durante séculos.","","PT010408160010",41.528,-7.21,"Batch (enrichment): Bragança"
380,"Castro of Pombal","Castro de Pombal","archaeology","Castro","Desconhecido","Idade do Ferro","Em Alfândega da Fé, o Castro de Pombal é um povoado fortificado da Idade do Ferro, caracterizado pela sua imponente muralha e vestígios de estruturas habitacionais. Este sítio arqueológico oferece um vislumbre sobre a organização social e defensiva das comunidades pré-romanas no Nordeste de Portugal.","","PT010401010004",41.341,-6.985,"Batch (enrichment): Bragança"
381,"Bridge of Rabanedo","Ponte de Rabanedo","monument","Ponte","Desconhecido","Idade Média","Localizada no concelho de Bragança, esta ponte medieval de dois arcos sobre a Ribeira de Rabanedo é um testemunho da arquitetura vernácula da Idade Média. A sua construção em pedra local e o seu enquadramento paisagístico conferem-lhe um valor histórico e cultural significativo.","","PT010402280014",41.801,-6.744,"Batch (enrichment): Bragança"
382,"Bragança Castle Viewpoint","Miradouro do Castelo de Bragança","viewpoint","Miradouro","Desconhecido","Séc. XIII","Ponto elevado que oferece vistas panorâmicas sobre a cidade de Bragança, o Vale do Fervença e as serras circundantes, localizado nas muralhas do Castelo de Bragança.","",,41.8066,-6.7562,"Batch (enrichment): Bragança"
383,"Cathedral Square Garden","Jardim da Praça da Sé","park","Jardim Público","Desconhecido","Séc. XX","Pequeno jardim urbano situado no centro histórico de Bragança, adjacente à antiga Sé (Igreja de São João Batista), proporcionando um espaço verde e tranquilo.","",,41.8051,-6.757,"Batch (enrichment): Bragança"
384,"PR1 Brg - Mills Route Trail (Aveleda)","Trilho PR1 Brg - Rota dos Moinhos (Aveleda)","trail","Trilho Pedestre","Desconhecido","N/A","Percurso pedestre circular que explora a paisagem rural de Aveleda, caracterizado pela presença de antigos moinhos de água ao longo da ribeira.","",,41.87,-6.74,"Batch (enrichment): Bragança"
385,"Santa Apolónia Viewpoint","Miradouro de Santa Apolónia","viewpoint","Miradouro","Desconhecido","N/A","Miradouro localizado numa elevação natural que oferece uma vista ampla sobre a cidade de Bragança, ideal para contemplar o pôr do sol.","",,41.808,-6.751,"Batch (enrichment): Bragança"
386,"Fervença Urban Park","Parque Urbano do Fervença","park","Parque Urbano","Desconhecido","Séc. XXI","Extenso parque que acompanha o rio Fervença, oferecendo áreas verdes, percursos pedonais e pontes, ideal para lazer e atividades ao ar livre no coração da cidade.","",,41.8,-6.758,"Batch (enrichment): Bragança"
387,"Montesinho Hiking Trail","Percurso Pedestre de Montesinho","trail","Trilho Pedestre","Desconhecido","N/A","Um dos vários trilhos no Parque Natural de Montesinho, permitindo explorar a riqueza natural e cultural da região, com paisagens de montanha e aldeias típicas.","",,41.97,-6.73,"Batch (enrichment): Bragança"
388,"São Bartolomeu Viewpoint (Donai)","Miradouro de São Bartolomeu (Donai)","viewpoint","Miradouro","Desconhecido","N/A","Situado na localidade de Donai, este miradouro oferece uma perspetiva privilegiada sobre o vale do rio Sabor e a paisagem agrícola envolvente.","",,41.74,-6.77,"Batch (enrichment): Bragança"
389,"Avenida Cidade de Zamora Garden","Jardim da Avenida Cidade de Zamora","park","Jardim Público","Desconhecido","Séc. XXI","Jardim moderno e bem cuidado, localizado numa das principais avenidas de Bragança, servindo como espaço de lazer e convívio para os habitantes.","",,41.806,-6.759,"Batch (enrichment): Bragança"
390,"Faia de Água Alta Waterfall Trail","Trilho da Cascata da Faia de Água Alta","trail","Trilho Natural","Desconhecido","N/A","Percurso pedestre que conduz à deslumbrante Cascata da Faia de Água Alta, uma joia natural escondida no Parque Natural de Montesinho, com paisagens florestais e rochosas.","",,41.977,-6.728,"Batch (enrichment): Bragança"
391,"Montesinho Viewpoint","Miradouro de Montesinho","viewpoint","Miradouro Natural","Desconhecido","N/A","Um dos vários pontos de observação no Parque Natural de Montesinho, oferecendo vistas panorâmicas sobre a vasta área protegida, as aldeias e a paisagem serrana.","",,41.97,-6.7,"Batch (enrichment): Bragança"
392,"Bragança Castle Garden","Jardim do Castelo de Bragança","park","Jardim Histórico","Desconhecido","Séc. XX","Espaço ajardinado dentro das muralhas do castelo de Bragança, com bancos e vegetação, proporcionando um local de descanso e contemplação histórica.","",,41.8068,-6.7558,"Batch (enrichment): Bragança"
393,"Lomba da Serra Trail (Montesinho)","Trilho da Lomba da Serra (Montesinho)","trail","Trilho Natural","Desconhecido","N/A","Percurso que atravessa a serra da Lomba, no coração do Parque Natural de Montesinho, revelando paisagens de charnecas, florestas e vestígios de vida pastoril.","",,41.975,-6.75,"Batch (enrichment): Bragança"
394,"Serra da Coroa Viewpoint","Miradouro da Serra da Coroa","viewpoint","Miradouro Natural","Desconhecido","N/A","Localizado na Serra da Coroa, oferece vistas desafogadas sobre o nordeste transmontano, ideal para apreciar a vastidão e a beleza natural da região.","",,41.9,-6.7,"Batch (enrichment): Bragança"
395,"Garden of the Poets","Jardim dos Poetas","park","Jardim Temático","Desconhecido","Séc. XXI","Pequeno jardim temático em Bragança, dedicado a poetas e escritores, com elementos decorativos e espaços para reflexão.","",,41.8085,-6.7575,"Batch (enrichment): Bragança"
396,"Pombais Trail (Montesinho Natural Park)","Trilho dos Pombais (Parque Natural de Montesinho)","trail","Trilho Cultural","Desconhecido","N/A","Rota pedestre no Parque Natural de Montesinho que destaca os pombais tradicionais da região, exemplos da arquitetura rural e da cultura local.","",,41.99,-6.77,"Batch (enrichment): Bragança"
397,"Senhora da Luz Viewpoint (Alfaião)","Miradouro da Senhora da Luz (Alfaião)","viewpoint","Miradouro","Desconhecido","N/A","Localizado perto da Capela de Nossa Senhora da Luz em Alfaião, oferece vistas sobre as planícies e montes que cercam a freguesia.","",,41.86,-6.745,"Batch (enrichment): Bragança"
398,"Garden of the Old Solar dos Veigas","Jardim do Antigo Solar dos Veigas","park","Jardim Senhorial","Desconhecido","Séc. XVIII","Embora o Solar dos Veigas seja um edifício histórico, o seu jardim é um espaço verde relevante no centro de Bragança, mantendo características de um jardim senhorial.","",,41.8055,-6.7578,"Batch (enrichment): Bragança"
399,"Smuggling Route Trail (Izeda)","Trilho da Rota do Contrabando (Vila de Izeda)","trail","Trilho Temático","Desconhecido","N/A","Percurso pedestre próximo a Izeda, evocando as antigas rotas de contrabando na fronteira, com paisagens rurais e serranas do concelho de Bragança.","",,41.65,-6.72,"Batch (enrichment): Bragança"
400,"Cova da Baleia Viewpoint (Rio de Onor)","Miradouro da Cova da Baleia (Rio de Onor)","viewpoint","Miradouro Natural","Desconhecido","N/A","Ponto elevado com vista para a aldeia comunitária de Rio de Onor, no Parque Natural de Montesinho, com paisagens que se estendem até à fronteira espanhola.","",,41.98,-6.645,"Batch (enrichment): Bragança"
401,"Bragança Biological Park","Parque Biológico de Bragança","park","Parque Ambiental","Desconhecido","Séc. XXI","Espaço dedicado à conservação da biodiversidade e à educação ambiental, com percursos pedestres, áreas de observação de fauna e flora, e exposições.","",,41.789,-6.765,"Batch (enrichment): Bragança"
402,"Castelo Branco Cathedral (Church of Saint Michael)","Sé Catedral de Castelo Branco (Igreja de São Miguel)","church","Catedral","Desconhecido","Séc. XIII (origem), Séc. XVIII (remodelações)","A antiga Igreja de São Miguel, elevada a catedral em 1771. A sua construção remonta ao século XIII, mas sofreu várias remodelações, com destaque para as obras do século XVIII que lhe conferiram a atual fachada barroca e elementos rococó no interior. Possui um notável retábulo-mor e capelas laterais ricas em talha dourada.","","PT020502010007",39.8183,-7.4939,"Batch (enrichment): Castelo Branco"
403,"Convent of Saint Anthony (Castelo Branco)","Convento de Santo António (Castelo Branco)","church","Convento","Desconhecido","1565","Fundado no século XVI (cerca de 1565), este convento franciscano apresenta uma igreja de planta longitudinal com fachada austera. No interior, destacam-se os altares em talha dourada e painéis azulejares dos séculos XVII e XVIII. O claustro é um elemento central da sua arquitetura.","","PT020502010006",39.8188,-7.4947,"Batch (enrichment): Castelo Branco"
404,"Church of Saint Vincent (Castelo Branco)","Igreja de São Vicente (Castelo Branco)","church","Igreja Paroquial","Desconhecido","Séc. XVIII","Edificada no século XVIII, esta igreja paroquial é um exemplo do barroco setecentista. A fachada principal é marcada por um portal imponente e torre sineira. No interior, a nave única é decorada com talha dourada e azulejos policromados.","","PT020502010022",39.817,-7.494,"Batch (enrichment): Castelo Branco"
405,"Hermitage of Our Lady of Mércoles (Castelo Branco)","Ermida de Nossa Senhora de Mércoles (Castelo Branco)","church","Ermida, Santuário","Desconhecido","Séc. XVII-XVIII (reconstrução)","Localizada nos arredores da cidade, esta ermida é um importante local de culto mariano, com origens que remontam ao século XIII ou XIV, embora a construção atual seja predominantemente dos séculos XVII e XVIII. É um santuário de peregrinação popular, com uma arquitetura simples, mas um interior rico em elementos devocionais.","","PT020502010008",39.8038,-7.502,"Batch (enrichment): Castelo Branco"
406,"Church of Mercy of Castelo Branco","Igreja da Misericórdia de Castelo Branco","church","Igreja","Desconhecido","Séc. XVII","Edificada no século XVII, com remodelações no século XVIII. A sua fachada, embora simples, possui um portal barroco. O interior de nave única é notável pela sua rica talha dourada, azulejos e pinturas que adornam o teto e as paredes.","","PT020502010020",39.8193,-7.4938,"Batch (enrichment): Castelo Branco"
407,"Convent of Grace (Saint Damian Monastery)","Convento da Graça (Mosteiro de São Damião)","church","Convento, Mosteiro","Desconhecido","Séc. XVI","Fundado no século XVI, o Convento da Graça, também conhecido como Mosteiro de São Damião, pertencia à Ordem de Santo Agostinho. A igreja conventual apresenta uma arquitetura maneirista com elementos barrocos, um portal de destaque e um interior com altares e painéis azulejares que refletem a época.","","PT020502010013",39.821,-7.4975,"Batch (enrichment): Castelo Branco"
408,"Church of Saint Mark (Alcains)","Igreja de São Marcos (Alcains)","church","Igreja Matriz","Desconhecido","Séc. XVI (origem), Séc. XVII-XVIII (remodelações)","Igreja matriz de Alcains, datada do século XVI, mas com importantes remodelações nos séculos XVII e XVIII. Possui uma fachada de linhas simples, mas o seu interior revela uma riqueza barroca com talha dourada nos altares e um notável teto em caixotões pintados.","","PT020502030005",39.9079,-7.4725,"Batch (enrichment): Castelo Branco"
409,"Mother Church of Saint Michael (Idanha-a-Nova)","Igreja Matriz de São Miguel (Idanha-a-Nova)","church","Igreja Matriz","Desconhecido","Séc. XIII-XVI","Edificada sobre as ruínas de uma antiga mesquita, esta igreja matriz de Idanha-a-Nova apresenta uma fusão de estilos, com elementos românicos, góticos e renascentistas, resultado de sucessivas intervenções ao longo dos séculos. O seu portal manuelino é de particular destaque.","","PT020505030002",40.0156,-7.1706,"Batch (enrichment): Castelo Branco"
410,"Church of Our Lady of Expectation (Idanha-a-Velha)","Igreja de Nossa Senhora da Expectação (Idanha-a-Velha)","church","Igreja Visigótica, Românica","Desconhecido","Séc. XII","Construída no século XII, sobre um templo visigótico (antiga Sé de Egitânia), esta igreja destaca-se pela sua arquitetura românica e elementos visigóticos reaproveitados. É um dos monumentos mais importantes da antiga civitas romana e visigótica, com um interior austero e capitéis medievais.","","PT020505020002",40.0051,-7.1594,"Batch (enrichment): Castelo Branco"
411,"Church of Saint John the Baptist (Monsanto)","Igreja de São João Baptista (Monsanto)","church","Igreja","Desconhecido","Séc. XV-XVI","Em Monsanto, esta igreja, que foi durante algum tempo Sé da diocese da Guarda, data do século XV-XVI. Possui uma arquitetura maneirista com elementos góticos e românicos. O seu interior alberga um rico património artístico, incluindo retábulos e imagens.","","PT020505050002",40.0381,-7.1189,"Batch (enrichment): Castelo Branco"
412,"Chapel of Saint Peter of Vir-a-Corça (Idanha-a-Velha)","Capela de São Pedro de Vir-a-Corça (Idanha-a-Velha)","church","Capela Paleocristã/Românica","Desconhecido","Séc. VI-VII (origem), Séc. XII (atual)","Edificada sobre um antigo batistério paleocristão, esta capela é um dos mais enigmáticos monumentos de Idanha-a-Velha. A sua estrutura atual é do período românico, mas conserva vestígios de épocas anteriores, nomeadamente elementos visigóticos. É um exemplar raro de arquitetura religiosa.","","PT020505020001",40.0054,-7.1591,"Batch (enrichment): Castelo Branco"
413,"Mother Church of Penamacor (Church of Saint James)","Igreja Matriz de Penamacor (Igreja de São Tiago)","church","Igreja Matriz","Desconhecido","Séc. XIII (origem), Séc. XVI-XVII (remodelações)","A Igreja Matriz de Penamacor, dedicada a São Tiago, remonta ao século XIII, mas foi significativamente reconstruída nos séculos XVI e XVII, apresentando um estilo maneirista e barroco. A fachada austera contrasta com um interior ricamente decorado com altares de talha dourada e azulejos.","","PT020508090002",40.1691,-7.1704,"Batch (enrichment): Castelo Branco"
414,"Convent of Saint Francis (Penamacor)","Convento de São Francisco (Penamacor)","church","Convento","Desconhecido","Séc. XVI","Fundado no século XVI, este convento franciscano apresenta uma igreja de estilo maneirista. Embora parte do convento esteja em ruínas, a igreja ainda conserva elementos arquitetónicos notáveis, como o portal principal e vestígios de decoração interior.","","PT020508090001",40.1709,-7.1698,"Batch (enrichment): Castelo Branco"
415,"Mother Church of Covilhã (Church of Saint Mary)","Igreja Matriz da Covilhã (Igreja de Santa Maria)","church","Igreja Matriz","Desconhecido","Séc. XVI","Esta igreja do século XVI apresenta um portal renascentista de grande beleza. No interior, de nave única, destacam-se os painéis de azulejos figurativos do século XVIII e os altares barrocos, revelando a riqueza artística da época.","","PT020503070003",40.2831,-7.502,"Batch (enrichment): Castelo Branco"
416,"Church of Mercy of Covilhã","Igreja da Misericórdia da Covilhã","church","Igreja","Desconhecido","Séc. XVI (origem), Séc. XVIII (remodelação)","Edificada no século XVI, a Igreja da Misericórdia da Covilhã foi significativamente alterada nos séculos seguintes, especialmente no XVIII, adquirindo a sua atual fisionomia barroca. Possui uma fachada imponente e um interior notável pela sua talha dourada e azulejos.","","PT020503070001",40.2825,-7.5011,"Batch (enrichment): Castelo Branco"
417,"Convent of Saint Francis (Covilhã)","Convento de São Francisco (Covilhã)","church","Convento","Desconhecido","Séc. XVI","Fundado no século XVI, este convento franciscano, embora com algumas alterações ao longo do tempo, mantém a sua traça original, incluindo a igreja conventual com elementos maneiristas e barrocos. Atualmente, parte do edifício alberga a Universidade da Beira Interior.","","PT020503070002",40.2798,-7.5025,"Batch (enrichment): Castelo Branco"
418,"Mother Church of Fundão (Church of Saint Martin)","Igreja Matriz do Fundão (Igreja de São Martinho)","church","Igreja Matriz","Desconhecido","Séc. XV (origem), Séc. XVIII (reconstrução)","Originalmente do século XV, a Igreja Matriz do Fundão foi amplamente reconstruída no século XVIII, adotando um estilo barroco imponente. Destaca-se a sua torre sineira e um interior de nave única com altares em talha dourada e painéis de azulejo.","","PT020504040001",40.1415,-7.502,"Batch (enrichment): Castelo Branco"
